DescriptorClass,DescriptorUI,NLMClassificationNumber,DescriptorName,DateCreated,Annotation,AllowableQualifiersList,PharmacologicalActionList,OnlineNote,HistoryNote,PublicMeSHNote
{'DescriptorClass': '1'},D000029,,,,add HUMANS & FEMALE & PREGNANCY,,,,64,64
{'DescriptorClass': '1'},D000030,WQ 225,,,check the tags FEMALE & PREGNANCY,,,,,
{'DescriptorClass': '1'},D000031,,,,"/vet permitted only if discussed as ""septic"" abortion: do not use automatically for animal abortion in brucellosis, vibriosis, trichomoniasis, etc; check the tags FEMALE & PREGNANCY",,,,,
{'DescriptorClass': '1'},D000032,,,,check the tags FEMALE & PREGNANCY,,,,,
{'DescriptorClass': '1'},D000033,WQ 225,,,check the tags FEMALE & PREGNANCY,,,,,
{'DescriptorClass': '1'},D000034,SF 887,,,coordinate IM with specific type of abortion /vet (IM); check the tags ANIMALS & FEMALE & PREGNANCY,,,,,
{'DescriptorClass': '1'},D000035,WM 420.5.A2,,,,,,,68,68
{'DescriptorClass': '1'},D000036,,,,,,,,91(75); was see under PLANT PROTEINS 1975-90,91; was see under PLANT PROTEINS 1975-90
{'DescriptorClass': '1'},D000037,WQ 212,,,,,,,,
{'DescriptorClass': '1'},D000038,,,,coordinate with site (organ/disease term)  + precoordinated organism/infection term; if unspecified bacterial abscess do not coordinate with BACTERIAL INFECTIONS (since most abscesses are bacterial) but coordinate with specific bacterial infection term if given (as ABSCESS + STAPHYLOCOCCAL INFECTIONS),,,,,
{'DescriptorClass': '1'},D000039,,,,coordinate IM with infection term (IM) but not BACTERIAL INFECTIONS (since most abscesses are bacterial),,,"use PERITONSILLAR ABSCESS to search ABSCESS, PERITONSILLAR 1966-88","89; was ABSCESS, PERITONSILLAR 1963-88","89; was ABSCESS, PERITONSILLAR 1963-88"
{'DescriptorClass': '1'},D000040,,,,,,,,93(75),"93; see ABSCISSINS 1991-92, see CYCLOHEXANECARBOXYLIC ACID 1975-90"
{'DescriptorClass': '1'},D000041,,,,,,,,"was in Cat F & J 1967-82, was in Cat F & I 1963-66",
{'DescriptorClass': '1'},D000042,,,,beginning in 2015: used for searching; INDEXER: Do not use; CATALOGER: Do not use,,,,,
{'DescriptorClass': '1'},D000043,,,,medical abstracting & indexing: do not coordinate with MEDICINE; do not confuse with Publication Types ABSTRACTS or MEETING ABSTRACT,,,,2008(1963); for INDEXES as topic use REFERENCE BOOKS 1996-1998,2008; see ABSTRACTING AND INDEXING 1963-2007; for INDEXES as topic see REFERENCE BOOKS 1996-98
{'DescriptorClass': '1'},D000044,,,,,,,"use DENTAL ABUTMENTS to search ABUTMENTS, DENTAL 1970-90","91; was ABUTMENTS, DENTAL 1970-90","91; was ABUTMENTS, DENTAL 1970-90"
{'DescriptorClass': '1'},D000045,,,,acacia pharmaceut agents are probably GUM ARABIC,,,,91(86)63; was see under TREES 1986-90; was heading 1963-85,"91,63-85; was see under TREES 1986-90; was heading 1963-85"
{'DescriptorClass': '1'},D000046,,,,specify geog,,,"search HOSPITALS, UNIVERSITY 1979","80; was see HOSPITALS, UNIVERSITY 1979","80; was see HOSPITALS, UNIVERSITY 1979"
{'DescriptorClass': '1'},D000047,,,,not for educ acad & institutes ( = SCHOOLS or its indentions); Acad of Med: do not index also under MEDICINE; NY Acad of Med: when geog coord needed use NEW YORK CITY; DF: ACADEMIES,,,,70(65),70
{'DescriptorClass': '1'},D000048,,,,"infection: coordinate with AMEBIASIS; for encephalitis caused by this organism, coordinate also with CENTRAL NERVOUS SYSTEM PROTOZOAL INFECTIONS + INFECTIOUS ENCEPHALITIS; coordinate with specific protozoan terms (ANTIGENS, PROTOZOAN, etc.) if pertinent",,,,88,88
{'DescriptorClass': '1'},D000049,QX 200,,,"infection: coord IM with HELMINTHIASIS (IM); for antigens, coord with ANTIGENS, HELMINTH, for antibodies, coord with ANTIBODIES, HELMINTH",,,search HELMINTHS 1966-73,74; was see under HELMINTHS 1963-73,74; was see under HELMINTHS 1963-73
{'DescriptorClass': '1'},D000050,,,,,,,,"91(75); was see under ERYTHROCYTES, ABNORMAL 1975-90","91; was see under ERYTHROCYTES, ABNORMAL 1975-90"
{'DescriptorClass': '1'},D000051,,,,ACANTHOLYSIS BULLOSA see EPIDERMOLYSIS BULLOSA is also available,,,,91(69); was see under SKIN DISEASES 1969-90,91; was see under SKIN DISEASES 1969-90
{'DescriptorClass': '1'},D000052,WR 265,,,a type of melanosis,,,,,
{'DescriptorClass': '1'},D000053,,,,,,,,75,75
{'DescriptorClass': '1'},D000054,WD 720,,,IM,,,,,
{'DescriptorClass': '1'},D000055,WL 330,,,neoplasm = ACCESSORY NERVE DISEASES (IM) + CRANIAL NERVE NEOPLASMS (IM) + histological type of neoplasm (IM),,,,,
{'DescriptorClass': '1'},D000056,,,,,,,,,
{'DescriptorClass': '1'},D000057,,,,,,,,75,75
{'DescriptorClass': '1'},D000058,,,,,,,,91(87); was see under ACCIDENTS 1987-90,91; was see under ACCIDENTS 1987-90
{'DescriptorClass': '1'},D000059,,,,general or unspecified; prefer specifics,,,,,
{'DescriptorClass': '1'},D000060,WD 740,,,,,,,,
{'DescriptorClass': '1'},D000061,WA 288,,,,,,,70(69),70
{'DescriptorClass': '1'},D000062,,,,coordinate IM with specific occupation (IM),,,"use ACCIDENTS, OCCUPATIONAL to search ACCIDENTS, INDUSTRIAL 1966-78","79; was in Cat G & J 1979-82, was ACCIDENTS, INDUSTRIAL in Cat G & J 1967-78 & Cat G & I 1963-66","79; was ACCIDENTS, INDUSTRIAL 1963-78"
{'DescriptorClass': '1'},D000063,WA 275,,,"implies automobile accidents so do not coordinate with AUTOMOBILES unless the auto is especially discussed; coordinate with BICYCLING or MOTORCYCLES if pertinent; not for railroad accidents ( = RAILROADS + ACCIDENTS) or all-terrain vehicles, motorbikes or snowmobiles ( = OFF-ROAD MOTOR VEHICLES + ACCIDENTS)",,,,,
{'DescriptorClass': '1'},D000064,,,,"includes to climate, altitude, weather but not to gravity ( = ADAPTATION, PHYSIOLOGICAL)",,,,,
{'DescriptorClass': '1'},D000065,WW 109,,,"do not confuse with ADAPTATION, OCULAR, adjustment of eye to light",,,,,
{'DescriptorClass': '1'},D000066,,,,coordinate with specialty or specific financial endeavor,,,,,
{'DescriptorClass': '1'},D000066388,,,,,,,,2015,2015
{'DescriptorClass': '1'},D000066428,,,,,,,,2016,2015
{'DescriptorClass': '1'},D000066448,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066449,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066450,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066473,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066477,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066479,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066491,WB 141,,,use DECISION MAKING for decision making by the patient,,,,2016,2016
{'DescriptorClass': '1'},D000066492,WT 145,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066494,WL 103.4,,,"use for the discipline only (education, history, etc)",,,,2016,2016
{'DescriptorClass': '1'},D000066498,,,,,,,,"2016; for PSYCHOLOGICAL ADJUSTMENT use ADAPTATION, PSYCHOLOGICAL 2000-2015","2016; for PSYCHOLOGICAL ADJUSTMENT see ADAPTATION, PSYCHOLOGICAL 2000-2015"
{'DescriptorClass': '1'},D000066499,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066502,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066505,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066506,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066511,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066530,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066550,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066553,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066608,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066630,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066670,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066673,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066768,WB 320.5,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066792,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066794,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066829,WL 102,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066888,,,,used for searching; INDEXER: Do not use; CATALOGER: Do not use,,,,2016,2016
{'DescriptorClass': '1'},D000066889,,,,,,,,2016; use EDIBLE GRAIN 1998-2015,2016; see CEREALS 1998-2015
{'DescriptorClass': '1'},D000066891,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066908,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066928,,,,general or unspecified; note several specific millet terms are available,,,,2016,2016
{'DescriptorClass': '1'},D000066949,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066970,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066988,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000066989,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067,,,,,,,,91(78); was see under ACCOUNTING 1978-90,91; was see under ACCOUNTING 1978-90
{'DescriptorClass': '1'},D000067009,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067010,,,,,,,,2016; for ILLITERACY use EDUCATIONAL STATUS,2016; for ILLITERACY see EDUCATIONAL STATUS
{'DescriptorClass': '1'},D000067011,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067012,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067013,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067029,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067030,,,,coordinate with specific fruit or vegetable,,,,2016,2016
{'DescriptorClass': '1'},D000067048,,,,,,,,2016; use DIETARY FATS 1982-2015,2016; see DIETARY FATS 1982-2015
{'DescriptorClass': '1'},D000067071,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067073,WM 172.5,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067074,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067075,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067088,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067108,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067128,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067148,,,,coordinate with specific fungus/ virol,,,,2016,2016
{'DescriptorClass': '1'},D000067170,,,,,,,,2016; for INTERSTITIAL CELL OF CAJAL-LIKE CELLS use INTERSTITIAL CELLS OF CAJAL 2010-2015,2016; for INTERSTITIAL CELL OF CAJAL-LIKE CELLS see INTERSTITIAL CELLS OF CAJAL 2010-2015
{'DescriptorClass': '1'},D000067190,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067208,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067248,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067250,WM 30,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067251,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067268,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067269,,,,,,,,"2016; use DIET, VEGETARIAN 2003-2015","2016; see DIET, VEGETARIAN 2003-2015"
{'DescriptorClass': '1'},D000067289,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067290,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067292,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067329,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067348,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067368,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067369,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067390,WD 670,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067393,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067397,QV 663,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067398,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067399,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067401,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067404,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067408,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067448,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067449,WM 425.5.A5,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067450,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067453,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067454,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067455,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067470,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067489,BF 311,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067490,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067491,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067492,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067493,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067494,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067495,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067496,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067498,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067508,,,,,,,,,
{'DescriptorClass': '1'},D000067528,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067531,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067548,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067549,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067551,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067552,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067556,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067558,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067559,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067561,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067562,,,,,,,,2016; use AGE OF ONSET 1997-2015,2016; see AGE OF ONSET 1997-2015
{'DescriptorClass': '1'},D000067563,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067565,,,,,,,,2016; for AGRICULTURAL WORKERS use AGRICULTURE 1981-2015,2016; for AGRICULTURAL WORKERS see AGRICULTURE 1981-2015
{'DescriptorClass': '1'},D000067568,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067570,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067571,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067572,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067573,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067575,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067576,WS 440,,,,,,,2016; use CHILD WELFARE 1978-2015,2016; see CHILD WELFARE 1978-2015
{'DescriptorClass': '1'},D000067596,,,,,,,,2016 (2005),2016; INTERLEUKIN-33 was indexed under INTERLEUKINS 2005-2015
{'DescriptorClass': '1'},D000067616,,,,,,,,2016 (1994),"2016; S100A12 PROTEIN was indexed under S100 PROTEINS 2003-2015, and under CALCIUM-BINDING PROTEINS 1994-2002"
{'DescriptorClass': '1'},D000067617,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067636,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067656,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067657,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067696,,,,,,,,2016 (1995),2016; ATAXIN-1 was indexed under NERVE TISSUE PROTEINS AND NUCLEAR PROTEINS 1995-2015
{'DescriptorClass': '1'},D000067697,WS 460,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067698,,,,,,,,2016; use SCA2 PROTEIN (NM) 1996-2015,"2016; ATAXIN-2 was indexed under PROTEINS 1996-2005, and under NERVE TISSUE PROTEINS 2005-2015"
{'DescriptorClass': '1'},D000067699,,,,,,,,2016 (1995),"2016; ATAXIN-3 was indexed under NERVE TISSUE PROTEINS AND NUCLEAR PROTEINS 1998-2015, and under PROTEINS 1995-1997"
{'DescriptorClass': '1'},D000067716,,,,,,,,2016; for BEDSIDE TESTING use POINT-OF-CARE SYSTEMS 1995-2015,2016; for BEDSIDE TESTING see POINT-OF-CARE SYSTEMS 1995-2015
{'DescriptorClass': '1'},D000067719,,,,,,,,2016,2016; ATAXIN-7 was indexed under NERVE TISSUE PROTEINS 1997-2015
{'DescriptorClass': '1'},D000067736,,,,,,,,2016,2016; ATAXIN-10 was indexed under NERVE TISSUE PROTEINS 2006-2015
{'DescriptorClass': '1'},D000067756,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067757,,,,,,,,2016,"2016; GLUCAGON-LIKE PEPTIDE-1 RECEPTOR was indexed under RECEPTORS, GLUCAGON 1995-2015, and under RECEPTORS, CELL SURFACE 1987-1995"
{'DescriptorClass': '1'},D000067758,,,,,,,,2016,"2016; GLUCAGON-LIKE PEPTIDE-2 RECEPTOR was indexed under RECEPTORS, GLUCAGON 2000-2015"
{'DescriptorClass': '1'},D000067759,,,,,,,,2018 (1991),"2018; see ADVANCED GLYCOSYLATION END PRODUCT-SPECIFIC RECEPTOR 2016-2017; ADVANCED GLYCOSYLATION END PRODUCT-SPECIFIC RECEPTOR was indexed under RECEPTORS, IMMUNOLOGIC 1993-2015, and under RECEPTORS, ENDOGENOUS SUBSTANCES 1991-1993"
{'DescriptorClass': '1'},D000067776,,,,,,,,2016 (1993),2016; RNA RECOGNITION MOTIF PROTEINS was indexed under RNA-BINDING PROTEINS (1993-2015)
{'DescriptorClass': '1'},D000067777,,,,,,,,2016; use ELAV PROTEINS 2012-2015,2016; see HU PARANEOPLASTIC ENCEPHALOMYELITIS ANTIGENS 2012-2015
{'DescriptorClass': '1'},D000067778,,,,,,,,2016; use ELAV PROTEINS 2012-2015,2016; see HU PARANEOPLASTIC ENCEPHALOMYELITIS ANTIGENS 2012-2015
{'DescriptorClass': '1'},D000067779,,,,,,,,2016; use ELAV PROTEINS 2012-2015,2016; see HU PARANEOPLASTIC ENCEPHALOMYELITIS ANTIGENS 2012-2015
{'DescriptorClass': '1'},D000067780,,,,,,,,2016; use ELAV PROTEINS 2012-2015,2016; see HU PARANEOPLASTIC ENCEPHALOMYELITIS ANTIGENS 2012-2015
{'DescriptorClass': '1'},D000067796,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067816,,,,,,,,2016 (1984),2016; WHEY PROTEIN (NM) was indexed as MILK PROTEINS (1984-2015)
{'DescriptorClass': '1'},D000067836,WM 176,,,differentiate from HOARDING,,,,2016,2016
{'DescriptorClass': '1'},D000067856,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067877,,,,,,,,"2016; use CHILD DEVELOPMENT DISORDERS, PERVASIVE 2010-2015","2016; see CHILD DEVELOPMENT DISORDERS, PERVASIVE 2010-2015"
{'DescriptorClass': '1'},D000067878,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067879,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067896,,,,,,,,2016; for INDUSTRIALIZATION use INDUSTRY 2000-2015,2016; for INDUSTRIALIZATION see INDUSTRY 2000-2015
{'DescriptorClass': '1'},D000067917,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067936,,,,coordinate with  specific natural resource if pertinent,,,,2016;  use CONSERVATION OF NATURAL RESOURCES 1991-2015; for LAND SUPPLY use AGRICULTURE 1978-2015,2016; see CONSERVATION OF NATURAL RESOURCES 1991-2015; for LAND SUPPLY see AGRICULTURE 1978-2015
{'DescriptorClass': '1'},D000067940,,,,GLYCEMIC INDEX is also available,,,,2016,2016
{'DescriptorClass': '1'},D000067956,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000067996,,,,almost always NIM with no subheadings; check ANIMALS and MICE,,,,2016,2016
{'DescriptorClass': '1'},D000068,,,,by the profession; do not confuse with LICENSURE (by the state),,,,66(64),66
{'DescriptorClass': '1'},D000068016,,,,,,,,2016,2016
{'DescriptorClass': '2'},D000068036,,,,This heading is used as a Publication Type. Graphic novels as a subject are indexed under the main heading GRAPHIC NOVELS AS TOPIC.  INDEXER: Do not use,,,,2016; use CARTOONS 2014-2015,
{'DescriptorClass': '4'},D000068037,,,,,,,,2016,
{'DescriptorClass': '1'},D000068079,,,,,,,,2016; use MOTOR SKILLS DISORDERS 1998-2015,2016; see MOTOR SKILLS DISORDERS 1998-2015
{'DescriptorClass': '1'},D000068097,WQ 105,,,,,,,2016 (1974); use MATERNAL WELFARE 1974-2015,2016; see MATERNAL WELFARE 1974-2015
{'DescriptorClass': '1'},D000068098,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000068099,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000068101,WA 310,,,,,,,2016 (1978); use MATERNAL-CHILD HEALTH CENTERS 1978-2015,2016; see MATERNAL-CHILD HEALTH CENTERS 1978-2015
{'DescriptorClass': '1'},D000068103,,,,,,,,2016 (1995),"2016; SERINE-ARGININE-RICH SPLICING PROTEINS was indexed under PHOSPHOPROTEINS 1995-2006, under NUCLEAR PROTEINS 2007-2015, and under RNA-BINDING PROTEINS 2007-2015"
{'DescriptorClass': '1'},D000068104,,,,,,,,2016; use INFANT WELFARE 1994-2015,2016; see INFANT WELFARE 1994-2015
{'DescriptorClass': '1'},D000068105,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000068116,WM 617,,,,,,,2016,2016
{'DescriptorClass': '1'},D000068156,,,,,,,,2016,2016
{'DescriptorClass': '1'},D000068180,,,,,,,,2016 (1995),2016; ARIPIPRAZOLE was indexed under QUINOLONES 1995-2015 and under PIPERAZINES 1995-2015
